Title,Genre,Rank,Year,Rating,Metascore
Maudie,"Biography,Drama,Romance",840,2016,7.8,60.0
Horrible Bosses 2,"Comedy,Crime",841,2014,6.3,40.0
A Bigger Splash,"Drama,Thriller",842,2015,6.4,74.0
Melancholia,Drama,843,2011,7.1,80.0
The Princess and the Frog,"Animation,Adventure,Comedy",844,2009,7.1,73.0
Unstoppable,"Action,Thriller",845,2010,6.8,69.0
Flight,"Drama,Thriller",846,2012,7.3,76.0
Home,"Animation,Adventure,Comedy",847,2015,6.7,55.0
La migliore offerta,"Crime,Drama,Mystery",848,2013,7.8,49.0
Mean Dreams,Thriller,849,2016,6.3,64.0
42,"Biography,Drama,Sport",850,2013,7.5,62.0
21,"Crime,Drama,Thriller",851,2008,6.8,48.0
Begin Again,"Drama,Music",852,2013,7.4,62.0
Out of the Furnace,"Crime,Drama,Thriller",853,2013,6.8,63.0
Vicky Cristina Barcelona,"Drama,Romance",854,2008,7.1,70.0
Kung Fu Panda,"Animation,Action,Adventure",855,2008,7.6,73.0
Barbershop: The Next Cut,"Comedy,Drama",856,2016,5.9,67.0
Terminator Salvation,"Action,Adventure,Drama",857,2009,6.6,49.0
Freedom Writers,"Biography,Crime,Drama",858,2007,7.5,64.0
The Hills Have Eyes,Horror,859,2006,6.4,52.0
Changeling,"Biography,Drama,Mystery",860,2008,7.8,63.0
Remember Me,"Drama,Romance",861,2010,7.2,40.0
Koe no katachi,"Animation,Drama,Romance",862,2016,8.4,80.0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Comedy,Family",863,2014,6.2,54.0
Locke,Drama,864,2013,7.1,81.0
The 9th Life of Louis Drax,"Mystery,Thriller",865,2016,6.3,41.0
Horns,"Drama,Fantasy,Horror",866,2013,6.5,46.0
Indignation,"Drama,Romance",867,2016,6.9,78.0
The Stanford Prison Experiment,"Biography,Drama,History",868,2015,6.9,67.0
Diary of a Wimpy Kid: Rodrick Rules,"Comedy,Family",869,2011,6.6,51.0
Mission: Impossible III,"Action,Adventure,Thriller",870,2006,6.9,66.0
En man som heter Ove,"Comedy,Drama",871,2015,7.7,70.0
Dragonball Evolution,"Action,Adventure,Fantasy",872,2009,2.7,45.0
Red Dawn,"Action,Thriller",873,2012,5.4,31.0
One Day,"Drama,Romance",874,2011,7.0,48.0
Life as We Know It,"Comedy,Drama,Romance",875,2010,6.6,39.0
28 Weeks Later,"Drama,Horror,Sci-Fi",876,2007,7.0,78.0
Warm Bodies,"Comedy,Horror,Romance",877,2013,6.9,59.0
Blue Jasmine,Drama,878,2013,7.3,78.0
G.I. Joe: Retaliation,"Action,Adventure,Sci-Fi",879,2013,5.8,41.0
Wrath of the Titans,"Action,Adventure,Fantasy",880,2012,5.8,37.0
Shin Gojira,"Action,Adventure,Drama",881,2016,6.9,68.0
Saving Mr. Banks,"Biography,Comedy,Drama",882,2013,7.5,65.0
Transcendence,"Drama,Mystery,Romance",883,2014,6.3,42.0
Rio,"Animation,Adventure,Comedy",884,2011,6.9,63.0
Equals,"Drama,Romance,Sci-Fi",885,2015,6.1,43.0
Babel,Drama,886,2006,7.5,69.0
The Tree of Life,"Drama,Fantasy",887,2011,6.8,85.0
The Lucky One,"Drama,Romance",888,2012,6.5,39.0
Piranha 3D,"Comedy,Horror,Thriller",889,2010,5.5,53.0
50/50,"Comedy,Drama,Romance",890,2011,7.7,72.0
The Intent,"Crime,Drama",891,2016,3.5,59.0
This Is 40,"Comedy,Romance",892,2012,6.2,
Real Steel,"Action,Drama,Family",893,2011,7.1,56.0
Sex and the City,"Comedy,Drama,Romance",894,2008,5.5,53.0
Rambo,"Action,Thriller,War",895,2008,7.1,46.0
Planet Terror,"Action,Comedy,Horror",896,2007,7.1,55.0
Concussion,"Biography,Drama,Sport",897,2015,7.1,
The Fall,"Adventure,Comedy,Drama",898,2006,7.9,64.0
The Ugly Truth,"Comedy,Romance",899,2009,6.5,28.0
Bride Wars,"Comedy,Romance",900,2009,5.5,24.0
Sleeping with Other People,"Comedy,Drama,Romance",901,2015,6.5,64.0
Snakes on a Plane,"Action,Adventure,Crime",902,2006,5.6,58.0
What If,"Comedy,Romance",903,2013,6.8,59.0
How to Train Your Dragon 2,"Animation,Action,Adventure",904,2014,7.9,76.0
RoboCop,"Action,Crime,Sci-Fi",905,2014,6.2,52.0
In Dubious Battle,Drama,906,2016,6.2,43.0
"Hello, My Name Is Doris","Comedy,Drama,Romance",907,2015,6.7,63.0
Ocean's Thirteen,"Crime,Thriller",908,2007,6.9,62.0
Slither,"Comedy,Horror,Sci-Fi",909,2006,6.5,69.0
Contagion,"Drama,Thriller",910,2011,6.6,70.0
Il racconto dei racconti - Tale of Tales,"Drama,Fantasy,Horror",911,2015,6.4,72.0
I Am the Pretty Thing That Lives in the House,Thriller,912,2016,4.7,68.0
Bridge to Terabithia,"Adventure,Drama,Family",913,2007,7.2,74.0
Coherence,"Mystery,Sci-Fi,Thriller",914,2013,7.2,65.0
Notorious,"Biography,Crime,Drama",915,2009,6.7,60.0
Goksung,"Drama,Fantasy,Horror",916,2016,7.5,81.0
The Expendables 2,"Action,Adventure,Thriller",917,2012,6.6,51.0
The Girl Next Door,"Crime,Drama,Horror",918,2007,6.7,29.0
Perfume: The Story of a Murderer,"Crime,Drama,Fantasy",919,2006,7.5,56.0
The Golden Compass,"Adventure,Family,Fantasy",920,2007,6.1,51.0
Centurion,"Action,Adventure,Drama",921,2010,6.4,62.0
Scouts Guide to the Zombie Apocalypse,"Action,Comedy,Horror",922,2015,6.3,32.0
17 Again,"Comedy,Drama,Family",923,2009,6.4,48.0
No Escape,"Action,Thriller",924,2015,6.8,38.0
Superman Returns,"Action,Adventure,Sci-Fi",925,2006,6.1,72.0
The Twilight Saga: Breaking Dawn - Part 1,"Adventure,Drama,Fantasy",926,2011,4.9,45.0
Precious,Drama,927,2009,7.3,79.0
The Sea of Trees,Drama,928,2015,5.9,23.0
Good Kids,Comedy,929,2016,6.1,86.0
The Master,Drama,930,2012,7.1,
Footloose,"Comedy,Drama,Music",931,2011,5.9,58.0
If I Stay,"Drama,Fantasy,Music",932,2014,6.8,46.0
The Ticket,Drama,933,2016,5.4,52.0
Detour,Thriller,934,2016,6.3,46.0
The Love Witch,"Comedy,Horror",935,2016,6.2,82.0
Talladega Nights: The Ballad of Ricky Bobby,"Action,Comedy,Sport",936,2006,6.6,66.0
The Human Centipede (First Sequence),Horror,937,2009,4.4,33.0
Super,"Comedy,Drama",938,2010,6.8,50.0
The Siege of Jadotville,"Action,Drama,Thriller",939,2016,7.3,83.0
Up in the Air,"Drama,Romance",940,2009,7.4,
The Midnight Meat Train,"Horror,Mystery",941,2008,6.1,58.0
The Twilight Saga: Eclipse,"Adventure,Drama,Fantasy",942,2010,4.9,58.0
Transpecos,Thriller,943,2016,5.8,73.0
What's Your Number?,"Comedy,Romance",944,2011,6.1,35.0
Riddick,"Action,Sci-Fi,Thriller",945,2013,6.4,49.0
Triangle,"Fantasy,Mystery,Thriller",946,2009,6.9,66.0
The Butler,"Biography,Drama",947,2013,7.2,
King Cobra,"Crime,Drama",948,2016,5.6,48.0
After Earth,"Action,Adventure,Sci-Fi",949,2013,4.9,33.0
Kicks,Adventure,950,2016,6.1,69.0
Me and Earl and the Dying Girl,"Comedy,Drama",951,2015,7.8,74.0
The Descendants,"Comedy,Drama",952,2011,7.3,84.0
Sex and the City 2,"Comedy,Drama,Romance",953,2010,4.3,27.0
The Kings of Summer,"Adventure,Comedy,Drama",954,2013,7.2,61.0
Death Race,"Action,Sci-Fi,Thriller",955,2008,6.4,43.0
That Awkward Moment,"Comedy,Romance",956,2014,6.2,36.0
Legion,"Action,Fantasy,Horror",957,2010,5.2,32.0
End of Watch,"Crime,Drama,Thriller",958,2012,7.7,68.0
3 Days to Kill,"Action,Drama,Thriller",959,2014,6.2,40.0
Lucky Number Slevin,"Crime,Drama,Mystery",960,2006,7.8,53.0
Trance,"Crime,Drama,Mystery",961,2013,7.0,61.0
Into the Forest,"Drama,Sci-Fi,Thriller",962,2015,5.9,59.0
The Other Boleyn Girl,"Biography,Drama,History",963,2008,6.7,50.0
I Spit on Your Grave,"Crime,Horror,Thriller",964,2010,6.3,27.0
Custody,Drama,965,2016,6.9,72.0
Inland Empire,"Drama,Mystery,Thriller",966,2006,7.0,
L'odyssée,"Adventure,Biography",967,2016,6.7,70.0
The Walk,"Adventure,Biography,Crime",968,2015,7.3,
Wrecker,"Action,Horror,Thriller",969,2015,3.5,37.0
The Lone Ranger,"Action,Adventure,Western",970,2013,6.5,
Texas Chainsaw 3D,"Horror,Thriller",971,2013,4.8,62.0
Disturbia,"Drama,Mystery,Thriller",972,2007,6.9,
Rock of Ages,"Comedy,Drama,Musical",973,2012,5.9,47.0
Scream 4,"Horror,Mystery",974,2011,6.2,52.0
Queen of Katwe,"Biography,Drama,Sport",975,2016,7.4,73.0
My Big Fat Greek Wedding 2,"Comedy,Family,Romance",976,2016,6.0,37.0
Dark Places,"Drama,Mystery,Thriller",977,2015,6.2,39.0
Amateur Night,Comedy,978,2016,5.0,38.0
It's Only the End of the World,Drama,979,2016,7.0,48.0
The Skin I Live In,"Drama,Thriller",980,2011,7.6,70.0
Miracles from Heaven,"Biography,Drama,Family",981,2016,7.0,44.0
Annie,"Comedy,Drama,Family",982,2014,5.3,33.0
Across the Universe,"Drama,Fantasy,Musical",983,2007,7.4,56.0
Let's Be Cops,Comedy,984,2014,6.5,30.0
Max,"Adventure,Family",985,2015,6.8,47.0
Your Highness,"Adventure,Comedy,Fantasy",986,2011,5.6,31.0
Final Destination 5,"Horror,Thriller",987,2011,5.9,50.0
Endless Love,"Drama,Romance",988,2014,6.3,30.0
Martyrs,Horror,989,2008,7.1,89.0
Selma,"Biography,Drama,History",990,2014,7.5,
Underworld: Rise of the Lycans,"Action,Adventure,Fantasy",991,2009,6.6,44.0
Taare Zameen Par,"Drama,Family,Music",992,2007,8.5,42.0
Take Me Home Tonight,"Comedy,Drama,Romance",993,2011,6.3,
Resident Evil: Afterlife,"Action,Adventure,Horror",994,2010,5.9,37.0
Project X,Comedy,995,2012,6.7,48.0
Secret in Their Eyes,"Crime,Drama,Mystery",996,2015,6.2,45.0
Hostel: Part II,Horror,997,2007,5.5,46.0
Step Up 2: The Streets,"Drama,Music,Romance",998,2008,6.2,50.0
Search Party,"Adventure,Comedy",999,2014,5.6,22.0
Nine Lives,"Comedy,Family,Fantasy",1000,2016,5.3,11.0
